produce_type,color,size,ripeness,moisture_loss,blemish_ratio,density_score,grade
carrot,82.57,69.52,88.01,17.64,0.077,72.25,C
carrot,73.26,81.8,62.35,42.93,0.306,72.4,B
banana,94.91,87.61,62.25,39.96,0.003,79.32,B
cucumber,75.23,73.83,95.56,3.51,0.226,82.93,B
tomato,85.98,86.39,82.6,19.98,0.247,82.46,A
banana,65.79,89.39,94.06,5.25,0.3,87.61,B
orange,87.76,90.92,84.69,11.32,0.134,88.39,A
banana,91.07,84.68,86.86,13.54,0.104,88.93,A
tomato,56.14,78.16,68.47,27.69,0.425,80.79,C
carrot,92.52,61.81,70.64,30.33,0.104,69.78,C
apple,89.9,77.82,68.6,36.55,0.091,66.83,B
banana,64.21,87.97,78.28,25.86,0.337,83.92,C
carrot,87.38,78.29,83.31,12.72,0.108,78.89,B
carrot,85.3,76.37,76.2,26.68,0.169,79.61,B
tomato,76.52,76.92,74.72,15.15,0.162,69.21,B
orange,84.0,71.13,69.95,37.85,0.142,74.23,B
carrot,64.0,79.53,60.8,37.17,0.402,61.53,C
banana,81.57,74.87,52.86,47.57,0.158,65.03,C
banana,78.33,100.0,72.17,21.69,0.226,87.19,A
tomato,90.53,86.28,99.41,0.0,0.063,88.21,A
tomato,72.15,65.48,86.16,12.5,0.205,70.74,C
carrot,90.57,100.0,100.0,2.49,0.045,89.34,A
apple,82.02,72.24,69.35,26.97,0.173,76.13,B
orange,75.62,69.57,49.21,47.88,0.241,68.23,C
cucumber,79.95,93.79,68.01,24.88,0.152,77.28,B
tomato,65.68,92.06,61.55,44.04,0.362,76.02,B
apple,77.39,74.14,83.14,14.13,0.165,72.25,B
orange,100.0,83.92,74.1,27.61,0.065,80.11,A
orange,71.84,95.28,82.86,26.35,0.291,82.95,B
banana,100.0,100.0,73.13,24.57,0.073,81.03,A
banana,64.58,89.72,69.69,30.28,0.346,81.39,C
banana,79.36,89.73,43.2,56.51,0.164,60.37,C
orange,64.83,77.99,90.65,1.39,0.353,81.9,C
banana,93.04,88.46,97.4,1.67,0.035,91.81,A
apple,81.64,84.12,58.65,41.89,0.195,83.97,C
cucumber,65.2,78.55,52.58,43.87,0.364,71.6,C
apple,67.06,74.15,41.64,57.38,0.276,55.25,C
tomato,94.86,80.87,47.88,43.32,0.158,57.94,C
banana,61.55,100.0,100.0,0.0,0.366,100.0,C
carrot,63.2,79.06,88.44,14.17,0.349,83.08,C
cucumber,57.38,79.14,71.74,29.66,0.398,77.8,C
carrot,80.33,86.22,76.85,23.15,0.161,83.12,A
apple,76.54,100.0,100.0,2.32,0.196,94.44,A
orange,81.94,87.76,48.09,57.48,0.203,62.37,C
banana,70.93,85.16,76.84,21.41,0.286,79.74,B
cucumber,100.0,51.2,72.21,28.85,0.015,59.85,C
tomato,51.65,85.94,100.0,0.0,0.527,91.33,C
tomato,62.21,77.99,96.8,6.7,0.465,93.28,C
apple,84.59,100.0,83.02,21.94,0.139,91.84,A
banana,92.84,67.86,88.52,10.34,0.13,81.94,C
tomato,100.0,90.77,50.85,48.75,0.0,68.22,C
cucumber,87.56,73.61,59.78,40.42,0.064,63.34,C
orange,82.68,95.86,85.74,0.51,0.188,91.16,A
carrot,100.0,57.24,66.54,37.0,0.0,69.27,C
carrot,83.53,92.16,66.86,38.02,0.218,80.68,B
carrot,82.06,71.64,73.64,25.45,0.199,77.64,B
cucumber,62.12,80.5,99.7,0.0,0.338,91.11,C
tomato,78.17,97.95,89.71,15.34,0.246,100.0,A
carrot,74.92,57.96,100.0,0.0,0.256,85.53,C
carrot,59.23,62.78,63.29,39.34,0.434,64.42,C
cucumber,56.81,54.28,76.87,20.3,0.455,69.08,C
orange,68.06,83.66,88.16,13.21,0.346,82.39,B
apple,75.31,84.36,89.13,8.51,0.273,85.42,A
apple,90.44,58.08,55.26,35.85,0.0,53.28,C
apple,89.24,78.58,79.16,27.37,0.174,78.53,B
apple,76.53,98.24,77.47,17.5,0.205,80.46,A
apple,64.68,77.7,88.86,21.47,0.284,85.24,C
cucumber,85.12,80.43,46.71,58.86,0.119,60.9,C
banana,61.95,74.15,82.85,16.02,0.397,80.31,C
orange,72.86,64.28,93.08,4.94,0.327,80.59,C
apple,76.03,86.19,100.0,12.46,0.243,93.89,A
banana,65.32,86.0,75.59,26.3,0.305,72.84,B
apple,46.91,68.59,68.66,29.58,0.628,74.16,C
cucumber,83.22,77.12,71.45,29.66,0.199,72.59,B
cucumber,93.96,68.3,76.1,39.48,0.072,79.37,C
orange,86.71,81.32,73.27,22.05,0.154,73.04,A
carrot,87.98,95.02,81.86,16.42,0.143,86.9,A
banana,50.53,77.97,44.15,46.88,0.563,65.54,C
tomato,67.21,63.97,30.0,66.74,0.449,49.16,C
banana,84.98,63.27,71.24,29.35,0.146,71.21,C
banana,83.17,90.02,64.99,40.4,0.25,72.65,B
orange,98.04,79.7,98.46,0.0,0.092,89.74,B
cucumber,81.87,100.0,70.21,24.14,0.159,87.37,A
banana,87.56,75.53,94.37,0.0,0.085,76.52,B
carrot,65.61,84.97,73.13,25.35,0.336,80.07,B
tomato,88.6,89.95,82.16,21.18,0.129,96.23,A
apple,76.69,78.32,63.94,29.86,0.171,66.69,B
tomato,83.01,82.61,63.75,41.65,0.207,72.38,B
banana,68.21,88.58,79.01,12.3,0.315,85.1,B
carrot,80.85,64.54,97.38,10.11,0.179,82.78,C
carrot,41.85,68.12,71.3,22.27,0.617,79.7,C
tomato,65.44,84.83,100.0,0.0,0.358,100.0,B
banana,53.22,66.63,69.22,27.65,0.508,69.13,C
orange,85.73,75.07,96.39,0.0,0.111,88.44,B
carrot,89.44,87.38,49.03,54.2,0.054,69.38,C
carrot,84.69,72.32,55.48,48.81,0.165,60.83,C
carrot,99.77,76.71,76.51,25.1,0.0,78.97,B
tomato,71.83,98.35,59.35,26.17,0.362,91.6,C
carrot,71.92,58.76,71.03,27.25,0.271,59.33,C
apple,85.87,64.07,87.19,25.13,0.15,73.94,C
tomato,75.87,89.38,48.31,52.68,0.222,78.09,C
apple,100.0,68.76,85.4,16.52,0.0,77.96,C
tomato,96.19,78.11,48.93,50.97,0.0,61.81,C
orange,52.42,62.61,83.71,13.15,0.348,77.09,C
apple,82.09,73.43,54.93,50.08,0.197,76.1,C
cucumber,83.82,80.0,89.07,14.68,0.224,81.93,B
carrot,71.47,76.25,88.65,20.34,0.262,80.33,B
cucumber,74.31,93.42,39.97,55.07,0.218,55.1,C
cucumber,63.55,71.02,72.78,33.9,0.352,66.75,C
tomato,93.74,70.29,61.43,41.92,0.052,69.1,B
apple,77.8,90.42,59.44,40.49,0.212,68.85,C
banana,88.29,77.79,59.64,39.78,0.174,57.31,C
tomato,55.55,70.93,99.38,2.32,0.483,79.45,C
tomato,84.72,82.7,84.78,14.09,0.167,84.53,A
banana,89.67,91.68,50.08,36.43,0.153,76.82,C
cucumber,50.1,83.19,90.89,19.89,0.525,85.18,C
apple,64.6,82.14,71.21,22.7,0.456,85.6,C
tomato,64.19,92.26,86.23,16.42,0.421,92.42,C
cucumber,89.1,89.64,81.45,7.85,0.113,82.77,A
carrot,100.0,100.0,97.75,3.78,0.068,98.93,A
orange,81.04,68.88,82.35,18.01,0.124,75.36,C
apple,100.0,92.73,76.18,25.31,0.002,83.44,A
orange,61.76,80.19,64.06,28.44,0.408,74.08,C
orange,76.16,93.95,92.95,13.21,0.24,89.22,A
carrot,61.74,86.14,82.07,25.66,0.438,83.44,C
orange,73.21,84.61,72.77,23.77,0.281,76.17,B
banana,68.58,85.74,69.57,31.9,0.328,71.96,B
banana,99.57,68.06,42.13,46.7,0.006,55.25,C
carrot,76.24,96.57,33.23,69.14,0.316,59.26,C
orange,66.71,71.27,70.78,37.79,0.425,69.34,B
tomato,100.0,82.43,100.0,0.0,0.007,93.04,A
cucumber,90.77,73.51,91.5,6.33,0.068,87.05,B
apple,78.47,85.34,76.22,25.8,0.237,71.1,A
orange,63.27,64.69,75.07,25.44,0.333,74.03,C
apple,57.87,77.12,66.64,33.08,0.435,66.84,C
orange,78.95,59.3,44.66,55.26,0.2,51.46,C
tomato,77.58,84.71,91.16,2.17,0.166,82.47,A
apple,96.67,76.82,35.97,53.8,0.0,53.61,C
carrot,71.87,82.46,71.01,35.28,0.247,72.43,B
banana,54.97,86.68,77.64,21.47,0.53,79.05,C
cucumber,100.0,79.29,55.57,44.85,0.0,63.67,C
tomato,86.33,74.53,91.8,15.15,0.208,85.81,B
banana,98.45,59.43,70.91,23.88,0.021,62.31,C
cucumber,100.0,79.96,82.62,15.99,0.004,81.32,B
apple,84.72,95.98,100.0,1.86,0.182,92.24,A
banana,92.1,92.39,79.39,25.93,0.103,91.89,A
tomato,82.34,77.73,81.37,1.04,0.196,61.31,B
tomato,84.78,87.73,57.4,38.33,0.221,70.15,C
banana,100.0,81.98,82.53,27.17,0.007,77.24,A
cucumber,77.47,65.62,71.91,23.64,0.272,68.94,C
carrot,73.76,80.73,79.57,24.13,0.212,74.94,B
tomato,71.81,65.0,83.1,19.68,0.205,75.2,C
carrot,89.03,86.49,86.11,5.46,0.126,84.79,A
cucumber,91.06,99.75,100.0,7.89,0.084,100.0,A
carrot,89.5,83.45,78.09,26.85,0.102,77.13,A
tomato,87.51,82.04,81.44,22.58,0.106,85.52,A
orange,83.68,67.18,99.08,0.0,0.08,77.9,C
carrot,78.78,78.71,70.61,33.11,0.229,76.24,B
banana,84.15,89.39,42.27,55.54,0.05,66.01,C
cucumber,93.68,96.25,79.24,17.75,0.087,85.11,A
orange,77.98,93.83,67.08,37.76,0.254,75.68,B
cucumber,88.48,83.22,63.8,31.04,0.088,76.23,B
